"City","State","Country","Market","Region","Geo_ID"
"Dallas","Texas","United States","US","Central",898
"Daloa","Haut-Sassandra","Cote d'Ivoire","Africa","Africa",899
"Damanhur","Al Buhayrah","Egypt","Africa","Africa",900
"Damaturu","Yobe","Nigeria","Africa","Africa",901
"Danbury","Connecticut","United States","US","East",902
"Danville","California","United States","US","West",903
"Danville","Illinois","United States","US","Central",904
"Daqing","Heilongjiang","China","APAC","North Asia",905
"Dar Chioukh","Djelfa","Algeria","Africa","Africa",906
"Dar es Salaam","Dar Es Salaam","Tanzania","Africa","Africa",907
"Darbhanga","Bihar","India","APAC","Central Asia",908
"Darlington","England","United Kingdom","EU","North",909
"Darmstadt","Hesse","Germany","EU","Central",910
"Dartford","England","United Kingdom","EU","North",911
"Dartmouth","Nova Scotia","Canada","Canada","Canada",912
"Darton","England","United Kingdom","EU","North",913
"Darwin","Northern Territory","Australia","APAC","Oceania",914
"Datong","Anhui","China","APAC","North Asia",915
"Datong","Shanxi","China","APAC","North Asia",916
"David","Chiriquí","Panama","LATAM","Central",917
"Davis","California","United States","US","West",918
"Dax","Aquitaine","France","EU","Central",919
"Dayr az Zawr","Dayr Az Zawr","Syria","EMEA","EMEA",920
"Daytona Beach","Florida","United States","US","South",921
"Dearborn","Michigan","United States","US","Central",922
"Dearborn Heights","Michigan","United States","US","Central",923
"Decatur","Alabama","United States","US","South",924
"Decatur","Illinois","United States","US","Central",925
"Deer Park","Texas","United States","US","Central",926
"Dehra Dun","Uttarakhand","India","APAC","Central Asia",927
"Delft","South Holland","Netherlands","EU","Central",928
"Delgado","San Salvador","El Salvador","LATAM","Central",929
"Delhi","Delhi","India","APAC","Central Asia",930
"Delicias","Chihuahua","Mexico","LATAM","North",931
"Delmenhorst","Lower Saxony","Germany","EU","Central",932
"Delray Beach","Florida","United States","US","South",933
"Deltona","Florida","United States","US","South",934
"Den Helder","North Holland","Netherlands","EU","Central",935
"Denain","Nord-Pas-de-Calais","France","EU","Central",936
"Denizli","Denizli","Turkey","EMEA","EMEA",937
"Denpasar","Bali","Indonesia","APAC","Southeast Asia",938
"Denver","Colorado","United States","US","West",939
"Depok","Jawa Barat","Indonesia","APAC","Southeast Asia",940
"Depok","Yogyakarta","Indonesia","APAC","Southeast Asia",941
"Derbent","Dagestan","Russia","EMEA","EMEA",942
"Derby","England","United Kingdom","EU","North",943
"Des Moines","Iowa","United States","US","Central",944
"Des Moines","Washington","United States","US","West",945
"Des Plaines","Illinois","United States","US","Central",946
"Detmold","North Rhine-Westphalia","Germany","EU","Central",947
"Detroit","Michigan","United States","US","Central",948
"Deuil-la-Barre","Ile-de-France","France","EU","Central",949
"Deva","Hunedoara","Romania","EMEA","EMEA",950
"Deventer","Overijssel","Netherlands","EU","Central",951
"Devonport","Tasmania","Australia","APAC","Oceania",952
"Dewas","Madhya Pradesh","India","APAC","Central Asia",953
"Dewsbury","England","United Kingdom","EU","North",954
"Deyang","Sichuan","China","APAC","North Asia",955
"Dhaka","Dhaka","Bangladesh","APAC","Central Asia",956
"Dhule","Maharashtra","India","APAC","Central Asia",957
"Diadema","São Paulo","Brazil","LATAM","South",958
"Dieppe","Upper Normandy","France","EU","Central",959
"Digne-les-Bains","Provence-Alpes-Côte d'Azur","France","EU","Central",960
"Dijon","Burgundy","France","EU","Central",961
"Dinslaken","North Rhine-Westphalia","Germany","EU","Central",962
"Dire Dawa","Dire Dawa","Ethiopia","Africa","Africa",963
"Disuq","Kafr Ash Shaykh","Egypt","Africa","Africa",964
"Divinópolis","Minas Gerais","Brazil","LATAM","South",965
"Diyarbakir","Diyarbakir","Turkey","EMEA","EMEA",966
"Djibouti","Djibouti","Djibouti","Africa","Africa",967
"Djougou","Donga","Benin","Africa","Africa",968
"Dniprodzerzhyns'k","Dnipropetrovs'k","Ukraine","EMEA","EMEA",969
"Dnipropetrovs'k","Dnipropetrovs'k","Ukraine","EMEA","EMEA",970
"Doetinchem","Gelderland","Netherlands","EU","Central",971
"Doha","Ad Dawhah","Qatar","EMEA","EMEA",972
"Dole","Franche-Comté","France","EU","Central",973
"Domont","Ile-de-France","France","EU","Central",974
"Doncaster","England","United Kingdom","EU","North",975
"Donets'k","Donetsk","Ukraine","EMEA","EMEA",976
"Dongguan","Guangdong","China","APAC","North Asia",977
"Donghai","Guangdong","China","APAC","North Asia",978
"Dordrecht","South Holland","Netherlands","EU","Central",979
"Dormagen","North Rhine-Westphalia","Germany","EU","Central",980
"Dorsten","North Rhine-Westphalia","Germany","EU","Central",981
"Dortmund","North Rhine-Westphalia","Germany","EU","Central",982
"Dos Hermanas","Andalusía","Spain","EU","South",983
"Dos Quebradas","Risaralda","Colombia","LATAM","South",984
"Douai","Nord-Pas-de-Calais","France","EU","Central",985
"Douarnenez","Brittany","France","EU","Central",986
"Dourados","Mato Grosso do Sul","Brazil","LATAM","South",987
"Dover","Delaware","United States","US","East",988
"Dover","New Hampshire","United States","US","East",989
"Draguignan","Provence-Alpes-Côte d'Azur","France","EU","Central",990
"Drammen","Buskerud","Norway","EU","North",991
"Drancy","Ile-de-France","France","EU","Central",992
"Draper","Utah","United States","US","West",993
"Dresden","Saxony","Germany","EU","Central",994
"Dreux","Centre","France","EU","Central",995
"Drobeta-Turnu Severin","Mehedinti","Romania","EMEA","EMEA",996
"Drogobych","L'viv","Ukraine","EMEA","EMEA",997
"Dronfield","England","United Kingdom","EU","North",998
"Dubbo","New South Wales","Australia","APAC","Oceania",999
"Dublin","California","United States","US","West",1000
"Dublin","Dublin","Ireland","EU","North",1001
"Dublin","Ohio","United States","US","East",1002
"Dubuque","Iowa","United States","US","Central",1003
"Dudley","England","United Kingdom","EU","North",1004
"Duisburg","North Rhine-Westphalia","Germany","EU","Central",1005
"Duitama","Boyacá","Colombia","LATAM","South",1006
"Dumai","Riau","Indonesia","APAC","Southeast Asia",1007
"Dundee","Scotland","United Kingdom","EU","North",1008
"Dunedin","Otago","New Zealand","APAC","Oceania",1009
"Dunstable","England","United Kingdom","EU","North",1010
"Duque de Caxias","Rio de Janeiro","Brazil","LATAM","South",1011
"Durango","Durango","Mexico","LATAM","North",1012
"Durban","Kwazulu-natal","South Africa","Africa","Africa",1013
"Durg","Chhattisgarh","India","APAC","Central Asia",1014
"Durgapur","Maharashtra","India","APAC","Central Asia",1015
"Durgapur","West Bengal","India","APAC","Central Asia",1016
"Durham","North Carolina","United States","US","South",1017
"Durres","Durrës","Albania","EMEA","EMEA",1018
"Duzce","Düzce","Turkey","EMEA","EMEA",1019
"Dzhezkazgan","Qaraghandy","Kazakhstan","EMEA","EMEA",1020
"Eagan","Minnesota","United States","US","Central",1021
"East Kilbride","Scotland","United Kingdom","EU","North",1022
"East London","Eastern Cape","South Africa","Africa","Africa",1023
"East Orange","New Jersey","United States","US","East",1024
"East Point","Georgia","United States","US","South",1025
"Eastbourne","England","United Kingdom","EU","North",1026
"Eau Claire","Wisconsin","United States","US","Central",1027
"Ebolowa","Sud","Cameroon","Africa","Africa",1028
"Echirolles","Rhône-Alpes","France","EU","Central",1029
"Echuca","Victoria","Australia","APAC","Oceania",1030
"Edea","Littoral","Cameroon","Africa","Africa",1031
"Edinburg","Texas","United States","US","Central",1032
"Edinburgh","Scotland","United Kingdom","EU","North",1033
"Edirne","Edirne","Turkey","EMEA","EMEA",1034
"Edmond","Oklahoma","United States","US","Central",1035
"Edmonds","Washington","United States","US","West",1036
"Edmonton","Alberta","Canada","Canada","Canada",1037
"Edogawa-ku","Tokyo","Japan","APAC","North Asia",1038
"Eggenstein-Leopoldshafen","Baden-Württemberg","Germany","EU","Central",1039
"Eindhoven","North Brabant","Netherlands","EU","Central",1040
"Ekibastuz","Pavlodar","Kazakhstan","EMEA","EMEA",1041
"El Cajon","California","United States","US","West",1042
"El Ejido","Andalusía","Spain","EU","South",1043
"El Escorial","Madrid","Spain","EU","South",1044
"El Jadida","Doukkala-Abda","Morocco","Africa","Africa",1045
"El Limón","Aragua","Venezuela","LATAM","South",1046
"El Paso","Texas","United States","US","Central",1047
"El Prat de Llobregat","Catalonia","Spain","EU","South",1048
"El Progreso","Yoro","Honduras","LATAM","Central",1049
"El Tigre","Anzoátegui","Venezuela","LATAM","South",1050
"Elazig","Elazig","Turkey","EMEA","EMEA",1051
"Elbasan","Elbasan","Albania","EMEA","EMEA",1052
"Elbeuf","Upper Normandy","France","EU","Central",1053
"Elda","Valenciana","Spain","EU","South",1054
"Elkhart","Indiana","United States","US","Central",1055
"Elmhurst","Illinois","United States","US","Central",1056
"Elx","Valenciana","Spain","EU","South",1057
"Elyria","Ohio","United States","US","East",1058
"Emden","Lower Saxony","Germany","EU","Central",1059
"Emmen","Drenthe","Netherlands","EU","Central",1060
"Encinitas","California","United States","US","West",1061
"Englewood","Colorado","United States","US","West",1062
"Ennigerloh","North Rhine-Westphalia","Germany","EU","Central",1063
"Enschede","Overijssel","Netherlands","EU","Central",1064
"Ensenada","Baja California","Mexico","LATAM","North",1065
"Enugu","Enugu","Nigeria","Africa","Africa",1066
"Envigado","Antioquia","Colombia","LATAM","South",1067
"Epinal","Lorraine","France","EU","Central",1068
"Epworth","Harare","Zimbabwe","Africa","Africa",1069
"Eragny","Ile-de-France","France","EU","Central",1070
"Ercolano","Campania","Italy","EU","South",1071
"Erechim","Rio Grande do Sul","Brazil","LATAM","South",1072
"Erftstadt","North Rhine-Westphalia","Germany","EU","Central",1073
"Erfurt","Thuringia","Germany","EU","Central",1074
"Erlangen","Bavaria","Germany","EU","Central",1075
"Ermont","Ile-de-France","France","EU","Central",1076
"Erzurum","Erzurum","Turkey","EMEA","EMEA",1077
"Esbjerg","South Denmark","Denmark","EU","North",1078
"Escondido","California","United States","US","West",1079
"Escuintla","Escuintla","Guatemala","LATAM","Central",1080
"Esenyurt","Istanbul","Turkey","EMEA","EMEA",1081
"Eskilstuna","Södermanland","Sweden","EU","North",1082
"Eskisehir","Eskisehir","Turkey","EMEA","EMEA",1083
"Espoo","Uusimaa","Finland","EU","North",1084
"Esquina","Corrientes","Argentina","LATAM","South",1085
"Essen","North Rhine-Westphalia","Germany","EU","Central",1086
"Estelí","Estelí","Nicaragua","LATAM","Central",1087
"Estepona","Andalusía","Spain","EU","South",1088
"Etawah","Uttar Pradesh","India","APAC","Central Asia",1089
"Etimesgut","Ankara","Turkey","EMEA","EMEA",1090
"Eugene","Oregon","United States","US","West",1091
"Eunápolis","Bahia","Brazil","LATAM","South",1092
"Euskirchen","North Rhine-Westphalia","Germany","EU","Central",1093
"Evanston","Illinois","United States","US","Central",1094
"Everett","Massachusetts","United States","US","East",1095
"Everett","Washington","United States","US","West",1096
"Evreux","Upper Normandy","France","EU","Central",1097
"Evry","Ile-de-France","France","EU","Central",1098
"Exeter","England","United Kingdom","EU","North",1099
"Ezhou","Hubei","China","APAC","North Asia",1100
"Facatativá","Cundinamarca","Colombia","LATAM","South",1101
"Faches-Thumesnil","Nord-Pas-de-Calais","France","EU","Central",1102
"Faenza","Emilia-Romagna","Italy","EU","South",1103
"Fairfield","California","United States","US","West",1104
"Fairfield","Connecticut","United States","US","East",1105
"Fairfield","Ohio","United States","US","East",1106
"Falconara Marittima","Marche","Italy","EU","South",1107
"Fano","Marche","Italy","EU","South",1108
"Fareham","England","United Kingdom","EU","North",1109
"Fargo","North Dakota","United States","US","Central",1110
"Faridabad","Haryana","India","APAC","Central Asia",1111
"Farmington","New Mexico","United States","US","West",1112
"Farnborough","England","United Kingdom","EU","North",1113
"Farroupilha","Rio Grande do Sul","Brazil","LATAM","South",1114
"Fasa","Fars","Iran","EMEA","EMEA",1115
"Fatehpur","Rajasthan","India","APAC","Central Asia",1116
"Fayetteville","Arkansas","United States","US","South",1117
"Fayetteville","North Carolina","United States","US","South",1118
"Feira","Aveiro","Portugal","EU","South",1119
"Feira de Santana","Bahia","Brazil","LATAM","South",1120
"Felahiye","Kayseri","Turkey","EMEA","EMEA",1121
"Fengcheng","Liaoning","China","APAC","North Asia",1122
"Fernando de la Mora","Central","Paraguay","LATAM","South",1123
"Ferndown","England","United Kingdom","EU","North",1124
"Ferrara","Emilia-Romagna","Italy","EU","South",1125
"Fes","Fès-Boulemane","Morocco","Africa","Africa",1126
"Fianarantsoa","Haute-Matsiatra","Madagascar","Africa","Africa",1127
"Firminy","Rhône-Alpes","France","EU","Central",1128
"Firozabad","Uttar Pradesh","India","APAC","Central Asia",1129
"Fiumicino","Lazio","Italy","EU","South",1130
"Flensburg","Schleswig-Holstein","Germany","EU","Central",1131
"Flers","Lower Normandy","France","EU","Central",1132
"Fleury-les-Aubrais","Centre","France","EU","Central",1133
"Florence","Alabama","United States","US","South",1134
"Florence","Kentucky","United States","US","South",1135
"Florence","South Carolina","United States","US","South",1136
"Florence","Tuscany","Italy","EU","South",1137
"Florencia","Caquetá","Colombia","LATAM","South",1138
"Floriano","Piauí","Brazil","LATAM","South",1139
"Floridablanca","Santander","Colombia","LATAM","South",1140
"Focsani","Vrancea","Romania","EMEA","EMEA",1141
"Foggia","Apulia","Italy","EU","South",1142
"Foligno","Umbria","Italy","EU","South",1143
"Fontaine","Rhône-Alpes","France","EU","Central",1144
"Fontainebleau","Ile-de-France","France","EU","Central",1145
"Fontenay-aux-Roses","Ile-de-France","France","EU","Central",1146
"Fontenay-le-Comte","Pays de la Loire","France","EU","Central",1147
"Fontenay-sous-Bois","Ile-de-France","France","EU","Central",1148
"Forbach","Lorraine","France","EU","Central",1149
"Forst","Brandenburg","Germany","EU","Central",1150
"Forster","New South Wales","Australia","APAC","Oceania",1151
"Fort Collins","Colorado","United States","US","West",1152
"Fort Lauderdale","Florida","United States","US","South",1153
"Fort Portal","Kabarole","Uganda","Africa","Africa",1154
"Fort Worth","Texas","United States","US","Central",1155
"Fort-de-France","Martinique","Martinique","LATAM","Caribbean",1156
"Fortaleza","Ceará","Brazil","LATAM","South",1157
"Foshan","Guangdong","China","APAC","North Asia",1158
"Foumban","Ouest","Cameroon","Africa","Africa",1159
"Franca","São Paulo","Brazil","LATAM","South",1160
"Francisco Beltrão","Parana","Brazil","LATAM","South",1161
"Francisco Morato","São Paulo","Brazil","LATAM","South",1162
"Franco da Rocha","São Paulo","Brazil","LATAM","South",1163
"Franconville","Ile-de-France","France","EU","Central",1164
"Frankfort","Illinois","United States","US","Central",1165
"Frankfurt","Hesse","Germany","EU","Central",1166
"Franklin","Massachusetts","United States","US","East",1167
"Franklin","Tennessee","United States","US","South",1168
"Franklin","Wisconsin","United States","US","Central",1169
"Frederiksberg","Hovedstaden","Denmark","EU","North",1170
"Freeport","Illinois","United States","US","Central",1171
"Freeport","New York","United States","US","East",1172
"Freiburg","Baden-Württemberg","Germany","EU","Central",1173
"Fremont","Nebraska","United States","US","Central",1174
"Fresnes","Ile-de-France","France","EU","Central",1175
"Fresnillo de González Echeverría","Zacatecas","Mexico","LATAM","North",1176
"Fresno","California","United States","US","West",1177
"Friedberg","Hesse","Germany","EU","Central",1178
"Friedrichshafen","Baden-Württemberg","Germany","EU","Central",1179
"Frisco","Texas","United States","US","Central",1180
"Frontera","Tabasco","Mexico","LATAM","North",1181
"Frontignan","Languedoc-Roussillon","France","EU","Central",1182
"Fuengirola","Andalusía","Spain","EU","South",1183
"Fuenlabrada","Madrid","Spain","EU","South",1184
"Fuji","Shizuoka","Japan","APAC","North Asia",1185
"Fujisawa","Kanagawa","Japan","APAC","North Asia",1186
"Fukui","Fukui","Japan","APAC","North Asia",1187
"Fukuyama","Hiroshima","Japan","APAC","North Asia",1188
"Fulda","Hesse","Germany","EU","Central",1189
"Funabashi","Chiba","Japan","APAC","North Asia",1190
"Funtua","Katsina","Nigeria","Africa","Africa",1191
"Fushun","Liaoning","China","APAC","North Asia",1192
"Fuzhou","Fujian","China","APAC","North Asia",1193
"Gagnoa","Fromager","Cote d'Ivoire","Africa","Africa",1194
"Gagny","Ile-de-France","France","EU","Central",1195
"Gaithersburg","Maryland","United States","US","East",1196
"Galati","Galati","Romania","EMEA","EMEA",1197
"Gallarate","Lombardy","Italy","EU","South",1198
"Galway","Galway","Ireland","EU","North",1199
"Gandia","Valenciana","Spain","EU","South",1200
"Ganganagar","Rajasthan","India","APAC","Central Asia",1201
"Gaomi","Shandong","China","APAC","North Asia",1202
"Gaoyou","Jiangsu","China","APAC","North Asia",1203
"Gap","Provence-Alpes-Côte d'Azur","France","EU","Central",1204
"Garanhuns","Pernambuco","Brazil","LATAM","South",1205
"Garbsen","Lower Saxony","Germany","EU","Central",1206
"Garches","Ile-de-France","France","EU","Central",1207
"Gardanne","Provence-Alpes-Côte d'Azur","France","EU","Central",1208
"Garden City","Kansas","United States","US","Central",1209
"Garforth","England","United Kingdom","EU","North",1210
"Garland","Texas","United States","US","Central",1211
"Garoua","Nord","Cameroon","Africa","Africa",1212
"Garza García","Nuevo León","Mexico","LATAM","North",1213
"Gaspar","Santa Catarina","Brazil","LATAM","South",1214
"Gastonia","North Carolina","United States","US","South",1215
"Gateshead","England","United Kingdom","EU","North",1216
"Gatineau","Quebec","Canada","Canada","Canada",1217
"Gawler","South Australia","Australia","APAC","Oceania",1218
"Gaya","Bihar","India","APAC","Central Asia",1219
"Gaziantep","Gaziantep","Turkey","EMEA","EMEA",1220
"Gaziemir","Izmir","Turkey","EMEA","EMEA",1221
"Gdansk","Pomerania","Poland","EMEA","EMEA",1222
"Gdynia","Pomerania","Poland","EMEA","EMEA",1223
"Gebze","Kocaeli","Turkey","EMEA","EMEA",1224
"Geelong","Victoria","Australia","APAC","Oceania",1225
"Gela","Sicily","Italy","EU","South",1226
"Gelsenkirchen","North Rhine-Westphalia","Germany","EU","Central",1227
"General Escobedo","Nuevo León","Mexico","LATAM","North",1228
"Geneva","Geneva","Switzerland","EU","Central",1229
"Genk","Limburg","Belgium","EU","Central",1230
"Gennevilliers","Ile-de-France","France","EU","Central",1231
"Genoa","Liguria","Italy","EU","South",1232
"George","Western Cape","South Africa","Africa","Africa",1233
"Georgetown","Kentucky","United States","US","South",1234
"Gera","Thuringia","Germany","EU","Central",1235
"Geraldton","Western Australia","Australia","APAC","Oceania",1236
"Getafe","Madrid","Spain","EU","South",1237
"Getxo","Basque Country","Spain","EU","South",1238
"Ghaziabad","Uttar Pradesh","India","APAC","Central Asia",1239
"Ghent","East Flanders","Belgium","EU","Central",1240
"Gien","Centre","France","EU","Central",1241
"Gilbert","Arizona","United States","US","West",1242
"Gillingham","England","United Kingdom","EU","North",1243
"Girga","Suhaj","Egypt","Africa","Africa",1244
"Girona","Catalonia","Spain","EU","South",1245
"Girón","Santander","Colombia","LATAM","South",1246
"Gisborne","Gisborne","New Zealand","APAC","Oceania",1247
"Gitarama","Southern","Rwanda","Africa","Africa",1248
"Giurgiu","Giurgiu","Romania","EMEA","EMEA",1249
"Givors","Rhône-Alpes","France","EU","Central",1250
"Giyani","Limpopo","South Africa","Africa","Africa",1251
"Gladbeck","North Rhine-Westphalia","Germany","EU","Central",1252
"Gladstone","Missouri","United States","US","Central",1253
"Gladstone","Queensland","Australia","APAC","Oceania",1254
"Glasgow","Scotland","United Kingdom","EU","North",1255
"Glendale","Arizona","United States","US","West",1256
"Glenview","Illinois","United States","US","Central",1257
"Gliwice","Silesia","Poland","EMEA","EMEA",1258
"Gloucester","England","United Kingdom","EU","North",1259
"Goiânia","Goiás","Brazil","LATAM","South",1260
"Gold Coast","Queensland","Australia","APAC","Oceania",1261
"Goldsboro","North Carolina","United States","US","South",1262
"Gombe","Gombe","Nigeria","Africa","Africa",1263
"Gonabad","Razavi Khorasan","Iran","EMEA","EMEA",1264
"Gonaïves","Artibonite","Haiti","LATAM","Caribbean",1265
"Gonesse","Ile-de-France","France","EU","Central",1266
"Gongzhuling","Jilin","China","APAC","North Asia",1267
"Gorakhpur","Haryana","India","APAC","Central Asia",1268
"Gorakhpur","Uttar Pradesh","India","APAC","Central Asia",1269
"Gorgan","Golestan","Iran","EMEA","EMEA",1270
"Gorzow Wielkopolski","Lubusz","Poland","EMEA","EMEA",1271
"Gosport","England","United Kingdom","EU","North",1272
"Gothenburg","Västra Götaland","Sweden","EU","North",1273
"Goulburn","New South Wales","Australia","APAC","Oceania",1274
"Goussainville","Ile-de-France","France","EU","Central",1275
"Goyang","Gyeonggi","South Korea","APAC","North Asia",1276
"Gradignan","Aquitaine","France","EU","Central",1277
"Grajaú","Maranhão","Brazil","LATAM","South",1278
"Granada","Andalusía","Spain","EU","South",1279
"Granada","Granada","Nicaragua","LATAM","Central",1280
"Grand Island","Nebraska","United States","US","Central",1281
"Grand Prairie","Texas","United States","US","Central",1282
"Grand Rapids","Michigan","United States","US","Central",1283
"Granollers","Catalonia","Spain","EU","South",1284
"Grapevine","Texas","United States","US","Central",1285
"Grasse","Provence-Alpes-Côte d'Azur","France","EU","Central",1286
"Gravataí","Rio Grande do Sul","Brazil","LATAM","South",1287
"Gravatá","Pernambuco","Brazil","LATAM","South",1288
"Gravesend","England","United Kingdom","EU","North",1289
"Graz","Styria","Austria","EMEA","EMEA",1290
"Graz","Styria","Austria","EU","Central",1291
"Great Falls","Montana","United States","US","West",1292
"Great Yarmouth","England","United Kingdom","EU","North",1293
"Greeley","Colorado","United States","US","West",1294
"Green Bay","Wisconsin","United States","US","Central",1295
"Greensboro","North Carolina","United States","US","South",1296
"Greenville","North Carolina","United States","US","South",1297
"Greenwood","Indiana","United States","US","Central",1298
"Greifswald","Mecklenburg-Vorpommern","Germany","EU","Central",1299
"Grenoble","Rhône-Alpes","France","EU","Central",1300
"Gresham","Oregon","United States","US","West",1301
"Grevenbroich","North Rhine-Westphalia","Germany","EU","Central",1302
"Griffith","New South Wales","Australia","APAC","Oceania",1303
"Grigny","Ile-de-France","France","EU","Central",1304
"Gronau","North Rhine-Westphalia","Germany","EU","Central",1305
"Groningen","Groningen","Netherlands","EU","Central",1306
"Grosseto","Tuscany","Italy","EU","South",1307
"Grove City","Ohio","United States","US","East",1308
"Guacara","Carabobo","Venezuela","LATAM","South",1309
"Guadalajara","Castile-La Mancha","Spain","EU","South",1310
"Guadalajara","Jalisco","Mexico","LATAM","North",1311
"Guamúchil","Sinaloa","Mexico","LATAM","North",1312
"Guanajuato","Guanajuato","Mexico","LATAM","North",1313
"Guanambi","Bahia","Brazil","LATAM","South",1314
"Guanare","Portuguesa","Venezuela","LATAM","South",1315
"Guangshui","Hubei","China","APAC","North Asia",1316
"Guangzhou","Guangdong","China","APAC","North Asia",1317
"Guantánamo","Guantánamo","Cuba","LATAM","Caribbean",1318
"Guarapari","Espírito Santo","Brazil","LATAM","South",1319
"Guarapuava","Parana","Brazil","LATAM","South",1320
"Guaratinguetá","São Paulo","Brazil","LATAM","South",1321
"Guarenas","Miranda","Venezuela","LATAM","South",1322
"Guarujá","São Paulo","Brazil","LATAM","South",1323
"Guarulhos","São Paulo","Brazil","LATAM","South",1324
"Guasave","Sinaloa","Mexico","LATAM","North",1325
"Guatemala City","Guatemala","Guatemala","LATAM","Central",1326
"Guatire","Miranda","Venezuela","LATAM","South",1327
"Guayana","Bolivar","Venezuela","LATAM","South",1328
"Guayaquil","Guayas","Ecuador","LATAM","South",1329
"Guaymas","Sonora","Mexico","LATAM","North",1330
"Gubkin","Belgorod","Russia","EMEA","EMEA",1331
"Guelma","Guelma","Algeria","Africa","Africa",1332
"Guelmim","Guelmim-Es Semara","Morocco","Africa","Africa",1333
"Guelph","Ontario","Canada","Canada","Canada",1334
"Guidonia Montecelio","Lazio","Italy","EU","South",1335
"Guildford","England","United Kingdom","EU","North",1336
"Guilin","Guangxi","China","APAC","North Asia",1337
"Guimarães","Braga","Portugal","EU","South",1338
"Guiping","Guangxi","China","APAC","North Asia",1339
"Guiyang","Guizhou","China","APAC","North Asia",1340
"Gujranwala","Punjab","Pakistan","APAC","Central Asia",1341
"Gujrat","Punjab","Pakistan","APAC","Central Asia",1342
"Gulbarga","Karnataka","India","APAC","Central Asia",1343
"Gulfport","Mississippi","United States","US","South",1344
"Gulu","Gulu","Uganda","Africa","Africa",1345
"Gummersbach","North Rhine-Westphalia","Germany","EU","Central",1346
"Guntur","Andhra Pradesh","India","APAC","Central Asia",1347
"Gurupi","Tocantins","Brazil","LATAM","South",1348
"Gusau","Zamfara","Nigeria","Africa","Africa",1349
"Guwahati","Assam","India","APAC","Central Asia",1350
"Guyancourt","Ile-de-France","France","EU","Central",1351
"Guzmán","Jalisco","Mexico","LATAM","North",1352
"Gwalior","Madhya Pradesh","India","APAC","Central Asia",1353
"Gyor","Gyor","Hungary","EMEA","EMEA",1354
"Gyula","Bekes","Hungary","EMEA","EMEA",1355
"Gómez Palacio","Durango","Mexico","LATAM","North",1356
"Günzburg","Bavaria","Germany","EU","Central",1357
"Haarlem","North Holland","Netherlands","EU","Central",1358
"Hachinohe","Aomori","Japan","APAC","North Asia",1359
"Hackensack","New Jersey","United States","US","East",1360
"Hadera","Haifa","Israel","EMEA","EMEA",1361
"Hagen","North Rhine-Westphalia","Germany","EU","Central",1362
"Hagerstown","Maryland","United States","US","East",1363
"Haguenau","Alsace","France","EU","Central",1364
"Haifa","Haifa","Israel","EMEA","EMEA",1365
"Haikou","Hainan","China","APAC","North Asia",1366
"Hailin","Heilongjiang","China","APAC","North Asia",1367
"Halesowen","England","United Kingdom","EU","North",1368
"Halifax","England","United Kingdom","EU","North",1369
"Halifax","Nova Scotia","Canada","Canada","Canada",1370
"Halle","North Rhine-Westphalia","Germany","EU","Central",1371
"Halle","Saxony-Anhalt","Germany","EU","Central",1372
"Halluin","Nord-Pas-de-Calais","France","EU","Central",1373
"Halmstad","Halland","Sweden","EU","North",1374
"Haltom City","Texas","United States","US","Central",1375
"Hamadan","Hamadan","Iran","EMEA","EMEA",1376
"Hamamatsu","Shizuoka","Japan","APAC","North Asia",1377
"Hamar","Hedmark","Norway","EU","North",1378
"Hamburg","Hamburg","Germany","EU","Central",1379
"Hamilton","Ohio","United States","US","East",1380
"Hamilton","Ontario","Canada","Canada","Canada",1381
"Hamilton","Waikato","New Zealand","APAC","Oceania",1382
"Hamm","North Rhine-Westphalia","Germany","EU","Central",1383
"Hamme","East Flanders","Belgium","EU","Central",1384
"Hampton","Virginia","United States","US","South",1385
"Handa","Aichi","Japan","APAC","North Asia",1386
"Handan","Hebei","China","APAC","North Asia",1387
"Hangu","Tianjin","China","APAC","North Asia",1388
"Hangzhou","Zhejiang","China","APAC","North Asia",1389
"Haninge","Stockholm","Sweden","EU","North",1390
"Hanoi","Th? Dô Hà N?i","Vietnam","APAC","Southeast Asia",1391
"Hanover","Lower Saxony","Germany","EU","Central",1392
"Hapur","Uttar Pradesh","India","APAC","Central Asia",1393
"Harare","Harare","Zimbabwe","Africa","Africa",1394
"Harbin","Heilongjiang","China","APAC","North Asia",1395
"Hardenberg","Overijssel","Netherlands","EU","Central",1396
"Hargeysa","Woqooyi Galbeed","Somalia","Africa","Africa",1397
"Harlingen","Texas","United States","US","Central",1398
"Harlow","England","United Kingdom","EU","North",1399
"Harrisonburg","Virginia","United States","US","South",1400
"Harrogate","England","United Kingdom","EU","North",1401
"Harrow","England","United Kingdom","EU","North",1402
"Hartlepool","England","United Kingdom","EU","North",1403
"Hasselt","Limburg","Belgium","EU","Central",1404
"Hastings","England","United Kingdom","EU","North",1405
"Hastings","Hawke's Bay","New Zealand","APAC","Oceania",1406
"Hattiesburg","Mississippi","United States","US","South",1407
"Hattingen","North Rhine-Westphalia","Germany","EU","Central",1408
"Hautmont","Nord-Pas-de-Calais","France","EU","Central",1409
"Hayange","Lorraine","France","EU","Central",1410
"Hazebrouck","Nord-Pas-de-Calais","France","EU","Central",1411
"Hebi","Henan","China","APAC","North Asia",1412
"Hechuan","Chongqing","China","APAC","North Asia",1413
"Heerlen","Limburg","Netherlands","EU","Central",1414
"Hefei","Anhui","China","APAC","North Asia",1415
