"Product ID","First(Category)","First(Sub-Category)","First(Product Name)","First(is_high_discount)"
"FUR-RUB-10001717","Furniture","Furnishings","Rubbermaid Photo Frame, Durable","Normal"
"FUR-RUB-10001796","Furniture","Furnishings","Rubbermaid Light Bulb, Erganomic","Normal"
"FUR-RUB-10002021","Furniture","Furnishings","Rubbermaid Light Bulb, Durable","Normal"
"FUR-RUB-10002067","Furniture","Furnishings","Rubbermaid Frame, Erganomic","Normal"
"FUR-RUB-10002507","Furniture","Furnishings","Rubbermaid Stacking Tray, Black","Normal"
"FUR-RUB-10002817","Furniture","Furnishings","Rubbermaid Door Stop, Durable","Normal"
"FUR-RUB-10002945","Furniture","Furnishings","Rubbermaid Photo Frame, Duo Pack","Normal"
"FUR-RUB-10003004","Furniture","Furnishings","Rubbermaid Frame, Durable","Normal"
"FUR-RUB-10003411","Furniture","Furnishings","Rubbermaid Stacking Tray, Erganomic","Normal"
"FUR-RUB-10003518","Furniture","Furnishings","Rubbermaid Door Stop, Erganomic","Normal"
"FUR-RUB-10003699","Furniture","Furnishings","Rubbermaid Light Bulb, Duo Pack","Normal"
"FUR-RUB-10003724","Furniture","Furnishings","Rubbermaid Frame, Duo Pack","Normal"
"FUR-RUB-10004036","Furniture","Furnishings","Rubbermaid Stacking Tray, Erganomic","Normal"
"FUR-RUB-10004285","Furniture","Furnishings","Rubbermaid Clock, Duo Pack","Normal"
"FUR-RUB-10004420","Furniture","Furnishings","Rubbermaid Door Stop, Black","Normal"
"FUR-RUB-10004633","Furniture","Furnishings","Rubbermaid Stacking Tray, Durable","Normal"
"FUR-SAF-10000085","Furniture","Bookcases","Safco Library with Doors, Pine","Normal"
"FUR-SAF-10000204","Furniture","Bookcases","Safco Library with Doors, Metal","Normal"
"FUR-SAF-10000213","Furniture","Bookcases","Safco Classic Bookcase, Mobile","Normal"
"FUR-SAF-10000265","Furniture","Bookcases","Safco Library with Doors, Metal","Normal"
"FUR-SAF-10000351","Furniture","Chairs","SAFCO Chairmat, Black","Normal"
"FUR-SAF-10000508","Furniture","Bookcases","Safco Library with Doors, Traditional","Normal"
"FUR-SAF-10000545","Furniture","Bookcases","Safco 3-Shelf Cabinet, Pine","Normal"
"FUR-SAF-10000565","Furniture","Chairs","SAFCO Bag Chairs, Adjustable","Normal"
"FUR-SAF-10000593","Furniture","Chairs","SAFCO Chairmat, Adjustable","High Discount"
"FUR-SAF-10000607","Furniture","Bookcases","Safco Stackable Bookrack, Mobile","Normal"
"FUR-SAF-10000678","Furniture","Bookcases","Safco Floating Shelf Set, Mobile","Normal"
"FUR-SAF-10000881","Furniture","Bookcases","Safco 3-Shelf Cabinet, Metal","Normal"
"FUR-SAF-10000949","Furniture","Bookcases","Safco Floating Shelf Set, Pine","Normal"
"FUR-SAF-10001136","Furniture","Chairs","SAFCO Swivel Stool, Adjustable","Normal"
"FUR-SAF-10001322","Furniture","Bookcases","Safco Stackable Bookrack, Traditional","High Discount"
"FUR-SAF-10001428","Furniture","Bookcases","Safco Corner Shelving, Pine","Normal"
"FUR-SAF-10001793","Furniture","Chairs","SAFCO Executive Leather Armchair, Black","High Discount"
"FUR-SAF-10001870","Furniture","Chairs","SAFCO Chairmat, Set of Two","Normal"
"FUR-SAF-10001873","Furniture","Chairs","SAFCO Bag Chairs, Set of Two","Normal"
"FUR-SAF-10001949","Furniture","Chairs","SAFCO Bag Chairs, Red","Normal"
"FUR-SAF-10001956","Furniture","Bookcases","Safco Classic Bookcase, Metal","Normal"
"FUR-SAF-10002112","Furniture","Chairs","SAFCO Executive Leather Armchair, Set of Two","Normal"
"FUR-SAF-10002121","Furniture","Chairs","SAFCO Rocking Chair, Black","Normal"
"FUR-SAF-10002180","Furniture","Chairs","SAFCO Executive Leather Armchair, Red","Normal"
"FUR-SAF-10002253","Furniture","Bookcases","Safco Stackable Bookrack, Pine","High Discount"
"FUR-SAF-10002314","Furniture","Chairs","SAFCO Swivel Stool, Black","Normal"
"FUR-SAF-10002360","Furniture","Bookcases","Safco Stackable Bookrack, Pine","Normal"
"FUR-SAF-10002400","Furniture","Bookcases","Safco Corner Shelving, Metal","Normal"
"FUR-SAF-10002495","Furniture","Bookcases","Safco Library with Doors, Mobile","High Discount"
"FUR-SAF-10002529","Furniture","Chairs","SAFCO Chairmat, Red","Normal"
"FUR-SAF-10002557","Furniture","Chairs","SAFCO Steel Folding Chair, Red","Normal"
"FUR-SAF-10002616","Furniture","Chairs","SAFCO Steel Folding Chair, Adjustable","Normal"
"FUR-SAF-10002757","Furniture","Chairs","SAFCO Rocking Chair, Red","Normal"
"FUR-SAF-10002846","Furniture","Bookcases","Safco Classic Bookcase, Pine","Normal"
"FUR-SAF-10002940","Furniture","Bookcases","Safco Corner Shelving, Mobile","Normal"
"FUR-SAF-10003160","Furniture","Chairs","SAFCO Rocking Chair, Adjustable","Normal"
"FUR-SAF-10003402","Furniture","Chairs","SAFCO Bag Chairs, Black","High Discount"
"FUR-SAF-10003469","Furniture","Bookcases","Safco Classic Bookcase, Traditional","Normal"
"FUR-SAF-10003540","Furniture","Bookcases","Safco Floating Shelf Set, Metal","Normal"
"FUR-SAF-10003745","Furniture","Chairs","SAFCO Rocking Chair, Set of Two","Normal"
"FUR-SAF-10003819","Furniture","Chairs","SAFCO Swivel Stool, Set of Two","Normal"
"FUR-SAF-10004173","Furniture","Bookcases","Safco Corner Shelving, Traditional","Normal"
"FUR-SAF-10004252","Furniture","Chairs","SAFCO Executive Leather Armchair, Adjustable","Normal"
"FUR-SAF-10004426","Furniture","Bookcases","Safco 3-Shelf Cabinet, Traditional","High Discount"
"FUR-SAF-10004525","Furniture","Chairs","SAFCO Swivel Stool, Red","High Discount"
"FUR-SAF-10004530","Furniture","Bookcases","Safco Floating Shelf Set, Traditional","Normal"
"FUR-SAF-10004664","Furniture","Chairs","SAFCO Steel Folding Chair, Set of Two","High Discount"
"FUR-SAU-10000209","Furniture","Bookcases","Sauder Corner Shelving, Metal","Normal"
"FUR-SAU-10000637","Furniture","Bookcases","Sauder Library with Doors, Metal","Normal"
"FUR-SAU-10000745","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Pine","Normal"
"FUR-SAU-10000893","Furniture","Bookcases","Sauder Stackable Bookrack, Mobile","Normal"
"FUR-SAU-10001776","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","Normal"
"FUR-SAU-10002043","Furniture","Bookcases","Sauder Floating Shelf Set, Metal","Normal"
"FUR-SAU-10002167","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Metal","High Discount"
"FUR-SAU-10002255","Furniture","Bookcases","Sauder Classic Bookcase, Pine","Normal"
"FUR-SAU-10002331","Furniture","Bookcases","Sauder Library with Doors, Traditional","Normal"
"FUR-SAU-10002540","Furniture","Bookcases","Sauder Stackable Bookrack, Traditional","Normal"
"FUR-SAU-10002642","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Traditional","Normal"
"FUR-SAU-10002714","Furniture","Bookcases","Sauder Corner Shelving, Pine","Normal"
"FUR-SAU-10003188","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","Normal"
"FUR-SAU-10003203","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Mobile","High Discount"
"FUR-SAU-10003694","Furniture","Bookcases","Sauder Library with Doors, Mobile","Normal"
"FUR-SAU-10003795","Furniture","Bookcases","Sauder Corner Shelving, Traditional","Normal"
"FUR-SAU-10003872","Furniture","Bookcases","Sauder Floating Shelf Set, Pine","Normal"
"FUR-SAU-10003928","Furniture","Bookcases","Sauder Classic Bookcase, Metal","Normal"
"FUR-SAU-10003933","Furniture","Bookcases","Sauder Classic Bookcase, Mobile","Normal"
"FUR-SAU-10004053","Furniture","Bookcases","Sauder Floating Shelf Set, Mobile","Normal"
"FUR-SAU-10004137","Furniture","Bookcases","Sauder Floating Shelf Set, Traditional","Normal"
"FUR-SAU-10004221","Furniture","Bookcases","Sauder Corner Shelving, Mobile","Normal"
"FUR-SAU-10004653","Furniture","Bookcases","Sauder Classic Bookcase, Traditional","Normal"
"FUR-TA-10000022","Furniture","Tables","Hon Conference Table, Adjustable Height","Normal"
"FUR-TA-10000038","Furniture","Tables","Chromcraft Conference Table, Adjustable Height","Normal"
"FUR-TA-10000052","Furniture","Tables","Hon Training Table, Adjustable Height","Normal"
"FUR-TA-10000073","Furniture","Tables","Lesro Coffee Table, Adjustable Height","Normal"
"FUR-TA-10000075","Furniture","Tables","Bevis Coffee Table, Fully Assembled","High Discount"
"FUR-TA-10000115","Furniture","Tables","Barricks Coffee Table, Fully Assembled","High Discount"
"FUR-TA-10000136","Furniture","Tables","Chromcraft Conference Table, Adjustable Height","Normal"
"FUR-TA-10000147","Furniture","Tables","Lesro Coffee Table, Rectangular","Normal"
"FUR-TA-10000164","Furniture","Tables","Lesro Training Table, Fully Assembled","Normal"
"FUR-TA-10000184","Furniture","Tables","Barricks Conference Table, Fully Assembled","Normal"
"FUR-TA-10000198","Furniture","Tables","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","Normal"
"FUR-TA-10000207","Furniture","Tables","Chromcraft Round Table, Fully Assembled","Normal"
"FUR-TA-10000222","Furniture","Tables","Bevis Training Table, Adjustable Height","Normal"
"FUR-TA-10000226","Furniture","Tables","Chromcraft Conference Table, with Bottom Storage","Normal"
"FUR-TA-10000245","Furniture","Tables","Chromcraft Computer Table, Adjustable Height","Normal"
"FUR-TA-10000283","Furniture","Tables","Hon Wood Table, with Bottom Storage","Normal"
"FUR-TA-10000299","Furniture","Tables","Lesro Round Table, Adjustable Height","Normal"
"FUR-TA-10000304","Furniture","Tables","Barricks Training Table, with Bottom Storage","High Discount"
"FUR-TA-10000310","Furniture","Tables","Barricks Training Table, Rectangular","Normal"
"FUR-TA-10000317","Furniture","Tables","Barricks Computer Table, Fully Assembled","Normal"
"FUR-TA-10000323","Furniture","Tables","Lesro Round Table, Fully Assembled","High Discount"
"FUR-TA-10000347","Furniture","Tables","Hon Computer Table, Adjustable Height","Normal"
"FUR-TA-10000355","Furniture","Tables","Bevis Wood Table, with Bottom Storage","Normal"
"FUR-TA-10000360","Furniture","Tables","Chromcraft Wood Table, Fully Assembled","High Discount"
"FUR-TA-10000403","Furniture","Tables","Barricks Computer Table, Fully Assembled","Normal"
"FUR-TA-10000434","Furniture","Tables","Chromcraft Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10000478","Furniture","Tables","Bevis Round Table, Fully Assembled","Normal"
"FUR-TA-10000486","Furniture","Tables","Barricks Wood Table, Adjustable Height","Normal"
"FUR-TA-10000490","Furniture","Tables","Lesro Training Table, with Bottom Storage","Normal"
"FUR-TA-10000518","Furniture","Tables","Chromcraft Round Table, Fully Assembled","Normal"
"FUR-TA-10000519","Furniture","Tables","Bevis Computer Table, Fully Assembled","High Discount"
"FUR-TA-10000558","Furniture","Tables","Hon Wood Table, Rectangular","Normal"
"FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","Normal"
"FUR-TA-10000591","Furniture","Tables","Chromcraft Training Table, with Bottom Storage","Normal"
"FUR-TA-10000593","Furniture","Tables","Chromcraft Training Table, Fully Assembled","Normal"
"FUR-TA-10000617","Furniture","Tables","Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","Normal"
"FUR-TA-10000637","Furniture","Tables","Bevis Conference Table, Rectangular","Normal"
"FUR-TA-10000649","Furniture","Tables","Barricks Computer Table, with Bottom Storage","Normal"
"FUR-TA-10000665","Furniture","Tables","Bevis Computer Table, Fully Assembled","Normal"
"FUR-TA-10000670","Furniture","Tables","Chromcraft Coffee Table, Adjustable Height","Normal"
"FUR-TA-10000671","Furniture","Tables","Barricks Conference Table, with Bottom Storage","Normal"
"FUR-TA-10000687","Furniture","Tables","Bevis Conference Table, with Bottom Storage","Normal"
"FUR-TA-10000688","Furniture","Tables","Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base","Normal"
"FUR-TA-10000695","Furniture","Tables","Lesro Wood Table, Rectangular","Normal"
"FUR-TA-10000750","Furniture","Tables","Hon Round Table, Fully Assembled","Normal"
"FUR-TA-10000789","Furniture","Tables","Lesro Training Table, with Bottom Storage","Normal"
"FUR-TA-10000805","Furniture","Tables","Bevis Wood Table, Adjustable Height","Normal"
"FUR-TA-10000849","Furniture","Tables","Bevis Rectangular Conference Tables","Normal"
"FUR-TA-10000855","Furniture","Tables","Chromcraft Training Table, Rectangular","High Discount"
"FUR-TA-10000861","Furniture","Tables","Barricks Conference Table, with Bottom Storage","Normal"
"FUR-TA-10000927","Furniture","Tables","Bevis Conference Table, Fully Assembled","High Discount"
"FUR-TA-10000945","Furniture","Tables","Bevis Coffee Table, Adjustable Height","Normal"
"FUR-TA-10000962","Furniture","Tables","Hon Conference Table, Adjustable Height","High Discount"
"FUR-TA-10000963","Furniture","Tables","Chromcraft Round Table, with Bottom Storage","Normal"
"FUR-TA-10000971","Furniture","Tables","Bevis Training Table, Rectangular","Normal"
"FUR-TA-10000989","Furniture","Tables","Lesro Conference Table, Rectangular","Normal"
"FUR-TA-10000991","Furniture","Tables","Lesro Computer Table, Adjustable Height","Normal"
"FUR-TA-10001039","Furniture","Tables","KI Adjustable-Height Table","Normal"
"FUR-TA-10001056","Furniture","Tables","Barricks Conference Table, Adjustable Height","Normal"
"FUR-TA-10001086","Furniture","Tables","SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine","Normal"
"FUR-TA-10001089","Furniture","Tables","Hon Computer Table, with Bottom Storage","Normal"
"FUR-TA-10001090","Furniture","Tables","Chromcraft Round Table, Rectangular","High Discount"
"FUR-TA-10001095","Furniture","Tables","Chromcraft Round Conference Tables","Normal"
"FUR-TA-10001100","Furniture","Tables","Lesro Training Table, Adjustable Height","Normal"
"FUR-TA-10001113","Furniture","Tables","Barricks Training Table, Fully Assembled","High Discount"
"FUR-TA-10001116","Furniture","Tables","Barricks Conference Table, Fully Assembled","Normal"
"FUR-TA-10001192","Furniture","Tables","Hon Training Table, Fully Assembled","Normal"
"FUR-TA-10001205","Furniture","Tables","Chromcraft Wood Table, Rectangular","Normal"
"FUR-TA-10001226","Furniture","Tables","Hon Conference Table, Rectangular","Normal"
"FUR-TA-10001228","Furniture","Tables","Bevis Training Table, Rectangular","Normal"
"FUR-TA-10001229","Furniture","Tables","Chromcraft Computer Table, Rectangular","Normal"
"FUR-TA-10001237","Furniture","Tables","Barricks Coffee Table, Fully Assembled","Normal"
"FUR-TA-10001272","Furniture","Tables","Barricks Training Table, Fully Assembled","Normal"
"FUR-TA-10001276","Furniture","Tables","Lesro Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10001285","Furniture","Tables","Chromcraft Conference Table, Fully Assembled","Normal"
"FUR-TA-10001289","Furniture","Tables","Lesro Conference Table, Fully Assembled","Normal"
"FUR-TA-10001306","Furniture","Tables","Hon Wood Table, Adjustable Height","Normal"
"FUR-TA-10001307","Furniture","Tables","SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","Normal"
"FUR-TA-10001327","Furniture","Tables","Barricks Training Table, Rectangular","Normal"
"FUR-TA-10001359","Furniture","Tables","Chromcraft Training Table, with Bottom Storage","Normal"
"FUR-TA-10001360","Furniture","Tables","Bevis Round Table, Rectangular","Normal"
"FUR-TA-10001371","Furniture","Tables","Chromcraft Coffee Table, Fully Assembled","Normal"
"FUR-TA-10001386","Furniture","Tables","Lesro Conference Table, Fully Assembled","Normal"
"FUR-TA-10001433","Furniture","Tables","Barricks Coffee Table, Adjustable Height","Normal"
"FUR-TA-10001494","Furniture","Tables","Lesro Wood Table, Adjustable Height","Normal"
"FUR-TA-10001496","Furniture","Tables","Barricks Computer Table, Fully Assembled","Normal"
"FUR-TA-10001520","Furniture","Tables","Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table","Normal"
"FUR-TA-10001531","Furniture","Tables","Lesro Training Table, Adjustable Height","Normal"
"FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables","Normal"
"FUR-TA-10001549","Furniture","Tables","Barricks Coffee Table, Rectangular","Normal"
"FUR-TA-10001558","Furniture","Tables","Barricks Training Table, Rectangular","Normal"
"FUR-TA-10001572","Furniture","Tables","Hon Wood Table, Rectangular","Normal"
"FUR-TA-10001595","Furniture","Tables","Chromcraft Coffee Table, Adjustable Height","Normal"
"FUR-TA-10001600","Furniture","Tables","Lesro Coffee Table, Fully Assembled","Normal"
"FUR-TA-10001602","Furniture","Tables","Barricks Round Table, Adjustable Height","Normal"
"FUR-TA-10001622","Furniture","Tables","Lesro Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10001633","Furniture","Tables","Bevis Wood Table, with Bottom Storage","Normal"
"FUR-TA-10001642","Furniture","Tables","Lesro Round Table, Rectangular","Normal"
"FUR-TA-10001664","Furniture","Tables","Chromcraft Conference Table, with Bottom Storage","Normal"
"FUR-TA-10001676","Furniture","Tables","Hon 61000 Series Interactive Training Tables","Normal"
"FUR-TA-10001691","Furniture","Tables","Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops","Normal"
"FUR-TA-10001693","Furniture","Tables","Bevis Training Table, with Bottom Storage","High Discount"
"FUR-TA-10001705","Furniture","Tables","Bush Advantage Collection Round Conference Table","Normal"
"FUR-TA-10001726","Furniture","Tables","Bevis Coffee Table, Fully Assembled","Normal"
"FUR-TA-10001740","Furniture","Tables","Barricks Conference Table, Adjustable Height","Normal"
"FUR-TA-10001744","Furniture","Tables","Lesro Coffee Table, Adjustable Height","Normal"
"FUR-TA-10001768","Furniture","Tables","Hon Racetrack Conference Tables","Normal"
"FUR-TA-10001771","Furniture","Tables","Bush Cubix Conference Tables, Fully Assembled","Normal"
"FUR-TA-10001786","Furniture","Tables","Chromcraft Computer Table, with Bottom Storage","Normal"
"FUR-TA-10001833","Furniture","Tables","Bevis Round Table, Fully Assembled","Normal"
"FUR-TA-10001857","Furniture","Tables","Balt Solid Wood Rectangular Table","Normal"
"FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","Normal"
"FUR-TA-10001889","Furniture","Tables","Bevis Conference Table, Fully Assembled","Normal"
"FUR-TA-10001930","Furniture","Tables","Bevis Computer Table, with Bottom Storage","Normal"
"FUR-TA-10001932","Furniture","Tables","Chromcraft 48"" x 96"" Racetrack Double Pedestal Table","Normal"
"FUR-TA-10001935","Furniture","Tables","Hon Coffee Table, Fully Assembled","High Discount"
"FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","Normal"
"FUR-TA-10001968","Furniture","Tables","Bevis Computer Table, with Bottom Storage","Normal"
"FUR-TA-10001980","Furniture","Tables","Hon Wood Table, Rectangular","Normal"
"FUR-TA-10002041","Furniture","Tables","Lesro Computer Table, Fully Assembled","Normal"
"FUR-TA-10002065","Furniture","Tables","Bevis Round Table, Rectangular","Normal"
"FUR-TA-10002088","Furniture","Tables","Barricks Coffee Table, Adjustable Height","Normal"
"FUR-TA-10002093","Furniture","Tables","Chromcraft Wood Table, Adjustable Height","Normal"
"FUR-TA-10002095","Furniture","Tables","Lesro Training Table, Fully Assembled","Normal"
"FUR-TA-10002101","Furniture","Tables","Bevis Conference Table, Fully Assembled","Normal"
"FUR-TA-10002146","Furniture","Tables","Hon Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10002153","Furniture","Tables","Lesro Round Table, with Bottom Storage","Normal"
"FUR-TA-10002172","Furniture","Tables","Hon Conference Table, Rectangular","High Discount"
"FUR-TA-10002228","Furniture","Tables","Bevis Traditional Conference Table Top, Plinth Base","Normal"
"FUR-TA-10002235","Furniture","Tables","Chromcraft Round Table, Adjustable Height","Normal"
"FUR-TA-10002256","Furniture","Tables","Hon Wood Table, Fully Assembled","Normal"
"FUR-TA-10002341","Furniture","Tables","Barricks Computer Table, Fully Assembled","Normal"
"FUR-TA-10002351","Furniture","Tables","Hon Training Table, Adjustable Height","Normal"
"FUR-TA-10002356","Furniture","Tables","Bevis Boat-Shaped Conference Table","Normal"
"FUR-TA-10002411","Furniture","Tables","Hon Round Table, with Bottom Storage","Normal"
"FUR-TA-10002433","Furniture","Tables","Chromcraft Computer Table, with Bottom Storage","Normal"
"FUR-TA-10002467","Furniture","Tables","Lesro Conference Table, Adjustable Height","Normal"
"FUR-TA-10002482","Furniture","Tables","Bevis Wood Table, Fully Assembled","Normal"
"FUR-TA-10002487","Furniture","Tables","Bevis Training Table, with Bottom Storage","High Discount"
"FUR-TA-10002497","Furniture","Tables","Chromcraft Computer Table, Adjustable Height","Normal"
"FUR-TA-10002519","Furniture","Tables","Lesro Conference Table, with Bottom Storage","Normal"
"FUR-TA-10002523","Furniture","Tables","Barricks Training Table, Rectangular","Normal"
"FUR-TA-10002527","Furniture","Tables","Barricks Round Table, Fully Assembled","Normal"
"FUR-TA-10002530","Furniture","Tables","Iceberg OfficeWorks 42"" Round Tables","Normal"
"FUR-TA-10002533","Furniture","Tables","BPI Conference Tables","Normal"
"FUR-TA-10002544","Furniture","Tables","Barricks Training Table, Fully Assembled","Normal"
"FUR-TA-10002557","Furniture","Tables","Barricks Conference Table, Rectangular","Normal"
"FUR-TA-10002568","Furniture","Tables","Chromcraft Coffee Table, Rectangular","Normal"
"FUR-TA-10002571","Furniture","Tables","Chromcraft Coffee Table, Adjustable Height","High Discount"
"FUR-TA-10002582","Furniture","Tables","Barricks Coffee Table, Rectangular","High Discount"
"FUR-TA-10002607","Furniture","Tables","KI Conference Tables","Normal"
"FUR-TA-10002611","Furniture","Tables","Barricks Computer Table, with Bottom Storage","Normal"
"FUR-TA-10002622","Furniture","Tables","Bush Andora Conference Table, Maple/Graphite Gray Finish","Normal"
"FUR-TA-10002638","Furniture","Tables","Barricks Wood Table, Rectangular","Normal"
"FUR-TA-10002645","Furniture","Tables","Hon Rectangular Conference Tables","Normal"
"FUR-TA-10002650","Furniture","Tables","Hon Wood Table, with Bottom Storage","Normal"
"FUR-TA-10002699","Furniture","Tables","Hon Round Table, Rectangular","Normal"
"FUR-TA-10002774","Furniture","Tables","Laminate Occasional Tables","Normal"
"FUR-TA-10002786","Furniture","Tables","Lesro Computer Table, Fully Assembled","Normal"
"FUR-TA-10002789","Furniture","Tables","Hon Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10002797","Furniture","Tables","Chromcraft Round Table, Adjustable Height","Normal"
"FUR-TA-10002827","Furniture","Tables","Hon Computer Table, Fully Assembled","Normal"
"FUR-TA-10002833","Furniture","Tables","Lesro Training Table, Rectangular","Normal"
"FUR-TA-10002855","Furniture","Tables","Bevis Round Conference Table Top & Single Column Base","Normal"
"FUR-TA-10002860","Furniture","Tables","Hon Training Table, with Bottom Storage","Normal"
"FUR-TA-10002868","Furniture","Tables","Barricks Coffee Table, Adjustable Height","Normal"
"FUR-TA-10002885","Furniture","Tables","Lesro Computer Table, Fully Assembled","High Discount"
"FUR-TA-10002903","Furniture","Tables","Bevis Round Bullnose 29"" High Table Top","Normal"
"FUR-TA-10002912","Furniture","Tables","Lesro Conference Table, Rectangular","Normal"
"FUR-TA-10002931","Furniture","Tables","Hon Round Table, with Bottom Storage","Normal"
"FUR-TA-10002935","Furniture","Tables","Bevis Coffee Table, Adjustable Height","Normal"
"FUR-TA-10002951","Furniture","Tables","Barricks Round Table, Adjustable Height","Normal"
"FUR-TA-10002957","Furniture","Tables","Bevis Training Table, Fully Assembled","Normal"
"FUR-TA-10002958","Furniture","Tables","Chromcraft Conference Table, Fully Assembled","Normal"
"FUR-TA-10002966","Furniture","Tables","Chromcraft Computer Table, Fully Assembled","Normal"
"FUR-TA-10002972","Furniture","Tables","Barricks Computer Table, Fully Assembled","High Discount"
"FUR-TA-10002979","Furniture","Tables","Bevis Coffee Table, Rectangular","Normal"
"FUR-TA-10002982","Furniture","Tables","Lesro Coffee Table, Adjustable Height","High Discount"
"FUR-TA-10003003","Furniture","Tables","Lesro Wood Table, Rectangular","High Discount"
"FUR-TA-10003006","Furniture","Tables","Hon Wood Table, Rectangular","Normal"
"FUR-TA-10003008","Furniture","Tables","Lesro Round Back Collection Coffee Table, End Table","Normal"
"FUR-TA-10003030","Furniture","Tables","Lesro Training Table, Adjustable Height","Normal"
"FUR-TA-10003055","Furniture","Tables","Lesro Round Table, Fully Assembled","High Discount"
"FUR-TA-10003078","Furniture","Tables","Hon Training Table, Fully Assembled","Normal"
"FUR-TA-10003079","Furniture","Tables","Hon Training Table, Rectangular","High Discount"
"FUR-TA-10003152","Furniture","Tables","Lesro Round Table, Adjustable Height","Normal"
"FUR-TA-10003157","Furniture","Tables","Hon Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10003164","Furniture","Tables","Bevis Wood Table, Rectangular","Normal"
"FUR-TA-10003171","Furniture","Tables","Bevis Training Table, Fully Assembled","Normal"
"FUR-TA-10003179","Furniture","Tables","Lesro Wood Table, Fully Assembled","Normal"
"FUR-TA-10003185","Furniture","Tables","Chromcraft Computer Table, Fully Assembled","Normal"
"FUR-TA-10003222","Furniture","Tables","Barricks Wood Table, with Bottom Storage","Normal"
"FUR-TA-10003228","Furniture","Tables","Hon Computer Table, Fully Assembled","Normal"
"FUR-TA-10003238","Furniture","Tables","Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables","Normal"
"FUR-TA-10003254","Furniture","Tables","Bevis Round Table, Adjustable Height","Normal"
"FUR-TA-10003268","Furniture","Tables","Lesro Round Table, Rectangular","Normal"
"FUR-TA-10003273","Furniture","Tables","Lesro Training Table, Rectangular","High Discount"
"FUR-TA-10003291","Furniture","Tables","Bevis Computer Table, Fully Assembled","High Discount"
"FUR-TA-10003307","Furniture","Tables","Barricks Conference Table, Fully Assembled","Normal"
"FUR-TA-10003319","Furniture","Tables","Barricks Coffee Table, with Bottom Storage","Normal"
"FUR-TA-10003323","Furniture","Tables","Bevis Round Table, Adjustable Height","Normal"
"FUR-TA-10003354","Furniture","Tables","Barricks Conference Table, Adjustable Height","Normal"
"FUR-TA-10003358","Furniture","Tables","Hon Round Table, Rectangular","Normal"
"FUR-TA-10003371","Furniture","Tables","Chromcraft Training Table, Adjustable Height","High Discount"
"FUR-TA-10003386","Furniture","Tables","Hon Round Table, with Bottom Storage","Normal"
"FUR-TA-10003392","Furniture","Tables","Global Adaptabilities Conference Tables","Normal"
"FUR-TA-10003405","Furniture","Tables","Lesro Computer Table, Adjustable Height","Normal"
"FUR-TA-10003449","Furniture","Tables","Chromcraft Coffee Table, Rectangular","High Discount"
"FUR-TA-10003451","Furniture","Tables","Hon Coffee Table, Adjustable Height","Normal"
"FUR-TA-10003469","Furniture","Tables","Balt Split Level Computer Training Table","Normal"
"FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","Normal"
"FUR-TA-10003485","Furniture","Tables","Bevis Training Table, Rectangular","Normal"
"FUR-TA-10003497","Furniture","Tables","Bevis Training Table, Adjustable Height","Normal"
"FUR-TA-10003510","Furniture","Tables","Hon Computer Table, Fully Assembled","Normal"
"FUR-TA-10003518","Furniture","Tables","Chromcraft Training Table, Fully Assembled","Normal"
"FUR-TA-10003522","Furniture","Tables","Chromcraft Conference Table, with Bottom Storage","High Discount"
"FUR-TA-10003527","Furniture","Tables","Chromcraft Wood Table, with Bottom Storage","Normal"
"FUR-TA-10003539","Furniture","Tables","Bevis Wood Table, Fully Assembled","High Discount"
"FUR-TA-10003568","Furniture","Tables","Chromcraft Conference Table, Rectangular","High Discount"
"FUR-TA-10003569","Furniture","Tables","Bretford CR8500 Series Meeting Room Furniture","Normal"
"FUR-TA-10003576","Furniture","Tables","Hon Coffee Table, Adjustable Height","Normal"
"FUR-TA-10003583","Furniture","Tables","Lesro Computer Table, with Bottom Storage","Normal"
"FUR-TA-10003591","Furniture","Tables","Bevis Wood Table, Rectangular","Normal"
